"Player","Position"
"Aaron Connolly","FW"
"Aaron Cresswell","LB"
"Aaron Lennon","RM"
"Aaron Mooy","CM"
"Aaron Ramsdale","GK"
"Aaron Ramsey","CM"
"Aaron Rowe","RW"
"Aaron Wan-Bissaka","RB"
"Abdelhamid Sabiri","AM"
"Abdoulaye Doucouré","DM"
"Aboubakar Kamara","RW"
"Adam Armstrong","FW"
"Adam Forshaw","DM"
"Adam Idah","FW"
"Adam Lallana","DM"
"Adam Masina","LB"
"Adam Smith","RB"
"Adam Webster","CB"
"Adama Diakhaby","RW"
"Adama Traoré","RW"
"Ademola Lookman","LW"
"Adrián","GK"
"Adrian Mariappa","CB"
"Adrien Silva","CM"
"Ahmed Elmohamady","RB"
"Ahmed Hegazi","CB"
"Ainsley Maitland-Niles","RB"
"Akin Famewo","CM"
"Albert Sambi Lokonga","DM"
"Alberto Moreno","LB"
"Albian Ajeti","CM"
"Aleksandar Dragovic","CB"
"Aleksandar Mitrovic","FW"
"Alex Iwobi","LW"
"Alex Král","AM"
"Alex McCarthy","GK"
"Alex Oxlade-Chamberlain","CM"
"Alex Pritchard","AM"
"Alex Telles","LB"
"Alexander Sørloth","FW"
"Alexander Tettey","CM"
"Alexandre Jankewitz","DM"
"Alexandre Lacazette","FW"
"Alexis Mac Allister","AM"
"Alexis Sánchez","LW"
"Alfie Mawson","CB"
"Alireza Jahanbakhsh","RW"
"Alisson","GK"
"Allan","DM"
"Allan Nyom","RB"
"Allan Saint-Maximin","FW"
"Allan Tchaptchet","CB"
"Alphonse Areola","GK"
"Álvaro Fernández","GK"
"Álvaro Morata","FW"
"Amad Diallo","RW"
"Ander Herrera","CM"
"Andi Zeqiri","FW"
"Andre-Frank Zambo Anguissa","DM"
"André Ayew","FW"
"André Carrillo","RW"
"André Gomes","CM"
"Andre Gray","FW"
"André Schürrle","RW"
"Andreas Christensen","CB"
"Andreas Pereira","AM"
"Andrew Omobamidele","CB"
"Andrew Robertson","LB"
"Andrew Surman","CM"
"Andriy Yarmolenko","RM"
"Andros Townsend","RM"
"Andy Carroll","FW"
"Andy King","CM"
"Angel Gomes","AM"
"Àngel Rangel","RB"
"Angeliño","LB"
"Angelo Ogbonna","CB"
"Angus Gunn","GK"
"Anthony Elanga","FW"
"Anthony Gordon","LM"
"Anthony Knockaert","RM"
"Anthony Martial","FW"
"Antonee Robinson","LB"
"Antonio Barreca","LB"
"Antonio Rüdiger","CB"
"Antonio Valencia","RB"
"Antwoine Hackford","WB"
"Anwar El Ghazi","LW"
"Armando Broja","FW"
"Arnaut Groeneveld","LM"
"Aron Gunnarsson","DM"
"Arthur Masuaku","LB"
"Artur Boruc","GK"
"Ashley Barnes","FW"
"Ashley Fletcher","FW"
"Ashley Westwood","DM"
"Ashley Williams","CB"
"Ashley Young","LB"
"Asmir Begovic","GK"
"Axel Tuanzebe","CB"
"Aymeric Laporte","CB"
"Ayoze Pérez","AM"
"Badou Ndiaye","CM"
"Bailey Peacock-Farrell","GK"
"Bakary Sako","FW"
"Bali Mumba","LB"
"Ben Chilwell","LB"
"Ben Davies","LB"
"Ben Foster","GK"
"Ben Gibson","CB"
"Ben Godfrey","CB"
"Ben Hamer","GK"
"Ben Johnson","RB"
"Ben Mee","CB"
"Ben Osborn","CM"
"Ben Watson","DM"
"Ben White","CB"
"Ben Wilmot","CM"
"Ben Woodburn","RM"
"Beni Baningime","CM"
"Benik Afobe","FW"
"Benjamin Mendy","LB"
"Beram Kayal","CM"
"Bernard","LW"
"Bernardo","LB"
"Bernardo Silva","CM"
"Bernd Leno","GK"
"Bertrand Traoré","RW"
"Billy Gilmour","DM"
"Billy Sharp","FW"
"Björn Engels","CB"
"Boaz Myhill","GK"
"Bobby Reid","AM"
"Bojan Krkic","AM"
"Borja Bastón","DM"
"Boubakary Soumaré","DM"
"Brahim Díaz","LW"
"Brandon Pierrick","RB"
"Brandon Williams","LB"
"Branislav Ivanovic","CB"
"Bruno","RB"
"Bruno Ecuele Manga","RB"
"Bruno Fernandes","AM"
"Bruno Jordão","LW"
"Bruno Martins Indi","CB"
"Bryan","AM"
"Bryan Mbeumo","FW"
"Bukayo Saka","RW"
"Çaglar Söyüncü","CB"
"Caleb Watts","LM"
"Callum Hudson-Odoi","RW"
"Callum Paterson","FW"
"Callum Robinson","FW"
"Callum Slattery","CM"
"Callum Wilson","FW"
"Calum Chambers","CB"
"Cameron Archer","AM"
"Caoimhín Kelleher","GK"
"Carl Jenkinson","WB"
"Carlos Sánchez","CM"
"Carlos Vinícius","FW"
"Carney Chukwuemeka","CM"
"Cédric Soares","RB"
"Cengiz Ünder","AM"
"Cenk Tosun","FW"
"César Azpilicueta","RB"
"Cesc Fàbregas","CM"
"Chancel Mbemba","LB"
"Charlie Adam","DM"
"Charlie Austin","FW"
"Charlie Cresswell","CB"
"Charlie Daniels","LB"
"Charlie Goode","CB"
"Charlie Taylor","LB"
"Charly Musonda Jr.","RW"
"Che Adams","FW"
"Cheikhou Kouyaté","CM"
"Chris Basham","CB"
"Chris Brunt","CM"
"Chris Löwe","LB"
"Chris Mepham","CB"
"Chris Smalling","CB"
"Chris Wood","FW"
"Christian Atsu","LW"
"Christian Benteke","FW"
"Christian Eriksen","AM"
"Christian Fuchs","LB"
"Christian Kabasele","CB"
"Christian Nørgaard","DM"
"Christian Pulisic","LW"
"Christoph Zimmermann","CB"
"Christopher Schindler","CB"
"Christos Tzolis","LW"
"Ciaran Clark","CB"
"Claudio Bravo","GK"
"Claudio Yacob","DM"
"Cody Drameh","RB"
"Cole Palmer","FW"
"Collin Quaner","RW"
"Connor Goldson","CB"
"Connor Roberts","RM"
"Connor Wickham","FW"
"Conor Coady","CB"
"Conor Gallagher","CM"
"Conor Hourihane","CM"
"Conor Townsend","LB"
"Craig Cathcart","CB"
"Craig Dawson","CB"
"Cristian Romero","CB"
"Cristiano Ronaldo","FW"
"Crysencio Summerville","LW"
"Cucho","LM"
"Cuco Martina","LB"
"Curtis Jones","CM"
"Cyrus Christie","RB"
"Dale Stephens","DM"
"Daley Blind","LB"
"Damien Delaney","CB"
"Dan Burn","LB"
"Dan Gosling","CM"
"Dan Nlundulu","FW"
"Dane Scarlett","LW"
"Dani Ceballos","DM"
"Daniel Amartey","CB"
"Daniel Bachmann","GK"
"Daniel James","RW"
"Daniel Jebbison","FW"
"Daniel Podence","AM"
"Daniel Sturridge","FW"
"Danilo","RB"
"Danny Drinkwater","DM"
"Danny Ings","FW"
"Danny Rose","LB"
"Danny Simpson","RB"
"Danny Ward","FW"
"Danny Welbeck","FW"
"Danny Williams","DM"
"Dara O'Shea","CB"
"Darnell Furlong","RB"
"Darren Fletcher","DM"
"Darren Randolph","GK"
"Daryl Janmaat","RB"
"David Brooks","RM"
"David Button","GK"
"David de Gea","GK"
"David Luiz","CB"
"David Martin","GK"
"David McGoldrick","FW"
"David Ospina","GK"
"David Raya","GK"
"David Silva","CM"
"Davide Zappacosta","WB"
"Davinson Sánchez","CB"
"Davy Klaassen","AM"
"Davy Pröpper","CM"
"Dean Henderson","GK"
"Dean Whitehead","DM"
"DeAndre Yedlin","RB"
"Declan Rice","DM"
"Dejan Lovren","CB"
"Dele Alli","AM"
"Demarai Gray","LM"
"Demeaco Duhaney","RB"
"Denis Odoi","CB"
"Denis Suárez","RW"
"Dennis Praet","CM"
"Dennis Srbeny","AM"
"Diafra Sakho","FW"
"Diego Llorente","CB"
"Diego Rico","LB"
"Dimitri Foulquier","RM"
"Dimitris Giannoulis","LB"
"Diogo Dalot","RB"
"Diogo Jota","FW"
"Divock Origi","FW"
"Djibril Sidibé","RB"
"Dodi Lukebakio","AM"
"Domingos Quina","DM"
"Dominic Calvert-Lewin","FW"
"Dominic Solanke","FW"
"Dominic Thompson","WB"
"Donny van de Beek","CM"
"Douglas Luiz","DM"
"Dušan Tadic","AM"
"Dwight Gayle","FW"
"Dwight McNeil","LM"
"Eberechi Eze","LM"
"Eddie Nketiah","FW"
"Eden Hazard","LW"
"Ederson","GK"
"Edimilson Fernandes","RW"
"Edinson Cavani","FW"
"Edouard Mendy","GK"
"Eldin Jakupovic","GK"
"Eliaquim Mangala","CB"
"Elias Kachunga","RW"
"Elliot Anderson","LM"
"Ellis Simms","FW"
"Emerson","RB"
"Emerson Hyndman","DM"
"Emerson Palmieri","LB"
"Emi Buendía","RW"
"Emil Krafth","RB"
"Emile Smith-Rowe","AM"
"Emiliano Martínez","GK"
"Emmanuel Dennis","FW"
"Emre Can","CM"
"Enda Stevens","WB"
"Enoch Mwepu","CM"
"Enock Mwepu","CM"
"Eric Bailly","CB"
"Eric Dier","CB"
"Eric García","CB"
"Eric Maxim Choupo-Moting","LW"
"Erik Durm","LB"
"Érik Lamela","RW"
"Erik Pieters","LB"
"Ethan Ampadu","CB"
"Ethan Pinnock","CB"
"Étienne Capoue","DM"
"Ezequiel Schelotto","RB"
"Ezgjan Alioski","LB"
"Ezri Konsa","CB"
"Fabián Balbuena","CB"
"Fabian Delph","LB"
"Fabian Schär","CB"
"Fabinho","DM"
"Fabio Carvalho","AM"
"Fábio Silva","FW"
"Fabricio","GK"
"Faustino Anjorin","LW"
"Federico Fernández","CB"
"Felipe Anderson","LM"
"Femi Seriki","WB"
"Fernandinho","DM"
"Fernando Llorente","FW"
"Fernando Marçal","WB"
"Ferrán Torres","RW"
"Fikayo Tomori","CB"
"Filip Krovinovic","CM"
"Florent Hadergjonaj","RB"
"Florian Lejeune","CB"
"Florin Andone","FW"
"Floyd Ayité","RW"
"Folarin Balogun","FW"
"Fousseni Diabaté","AM"
"Francis Coquelin","CB"
"Francisco Sierralta","CB"
"Francisco Trincão","RW"
"Frank Onyeka","CM"
"Fraser Forster","GK"
"Fred","DM"
"Freddie Ladapo","FW"
"Freddie Woodman","GK"
"Frederic Guilbert","RB"
"Gabriel Dos Santos","CB"
"Gabriel Jesus","FW"
"Gaëtan Bong","LB"
"Gaetano Berardi","CB"
"Gareth Bale","RW"
"Gareth Barry","DM"
"Gareth McAuley","CB"
"Gary Cahill","CB"
"Gary Madine","FW"
"Gedson Fernandes","AM"
"Geoff Cameron","CB"
"George Baldock","WB"
"George Hirst","LW"
"Georges-Kévin N'Koudou","LM"
"Georginio Wijnaldum","CM"
"Gerard Deulofeu","FW"
"Giovani Lo Celso","CM"
"Glen Johnson","RB"
"Glenn Murray","FW"
"Gonzalo Higuaín","FW"
"Grady Diangana","LM"
"Granit Xhaka","DM"
"Grant Hanley","CB"
"Greg Cunningham","LB"
"Grzegorz Krychowiak","CM"
"Guido Carrillo","FW"
"Gylfi Sigurðsson","AM"
"Hakim Ziyech","RW"
"Hal Robson-Kanu","FW"
"Hamza Choudhury","CM"
"Hannibal Mejbri","AM"
"Harrison Ashby","RB"
"Harrison Reed","DM"
"Harry Arter","CM"
"Harry Kane","FW"
"Harry Maguire","CB"
"Harry Wilson","RM"
"Harry Winks","DM"
"Harvey Barnes","LW"
"Harvey Elliot","CM"
"Håvard Nordtveit","CB"
"Héctor Bellerín","RB"
"Hélder Costa","RM"
"Henri Lansbury","CM"
"Henri Saivet","CM"
"Henrikh Mkhitaryan","RW"
"Heurelho Gomes","GK"
"Hugo Lloris","GK"
"Hwang Hee-chan","LW"
"Ian Carlo Poveda","RM"
"Ibrahim Afellay","AM"
"Ibrahim Amadou","CB"
"Ibrahima Cissé","CM"
"Ibrahima Diallo","DM"
"Ibrahima Konaté","CB"
"Idrissa Gana Gueye","CM"
"Ignacio Pussetto","RW"
"Iliman Ndiaye","DM"
"Ilkay Gündogan","CM"
"Illan Meslier","GK"
"Imran Louza","DM"
"Indiana Vassilev","FW"
"Isaac Hayden","CM"
"Isaac Mbenza","LW"
"Isaac Success","FW"
"Islam Slimani","FW"
"Ismaila Sarr","RW"
"Issa Diop","CB"
"Ivan Cavaleiro","FW"
"Ivan Toney","FW"
"Izzy Brown","LM"
"Jack Butland","GK"
"Jack Cork","DM"
"Jack Grealish","LW"
"Jack Harrison","LM"
"Jack O'Connell","CB"
"Jack Robinson","CB"
"Jack Rodwell","DM"
"Jack Simpson","CB"
"Jack Stacey","RB"
"Jack Stephens","CB"
"Jack Wilshere","CM"
"Jacob Murphy","WB"
"Jacob Ramsey","CM"
"Jaden Philogene Bidace","RW"
"Jadon Sancho","LW"
"Jaïro Riedewald","CM"
"Jake Livermore","CM"
"Jake Vokins","LB"
"Jakob Sørensen","CB"
"Jakub Moder","WB"
"Jamaal Lascelles","CB"
"Jamal Lewis","LB"
"James Collins","CB"
"James Garner","CM"
"James Justin","WB"
"James Maddison","AM"
"James McArthur","CM"
"James Mcatee","FW"
"James McCarthy","CM"
"James McClean","LM"
"James Milner","CM"
"James Morrison","AM"
"James Rodríguez","RW"
"James Tarkowski","CB"
"James Tomkins","CB"
"James Ward-Prowse","DM"
"Jamie Murphy","LM"
"Jamie Shackleton","RB"
